"sample","dolname","dolina","cluster","aspect","location","stratum","collector","rock.cover.percent","litter.depth.cm","litter.cover.percent","litter.moisture","date","day","hour"
1,"d01",1,1,"northern","south","bottom","f.vilisics",1,8,99,1.5,08/16/07,1,680
2,"d01",1,1,"southern","north","bottom","a.nagy",0,3,100,1.5,08/16/07,1,680
3,"d01",1,1,"northern","south","middle","f.vilisics",50,4,60,2.5,08/16/07,1,680
4,"d01",1,1,"southern","north","middle","a.nagy",50,5,60,2.5,08/16/07,1,680
5,"d01",1,1,"northern","south","edge","f.vilisics",40,4,60,2.5,08/16/07,1,680
6,"d01",1,1,"southern","north","edge","a.nagy",40,5,60,2.5,08/16/07,1,680
7,"d02",2,1,"northern","south","bottom","f.vilisics",1,4,95,2,08/16/07,1,790
8,"d02",2,1,"southern","north","bottom","a.nagy",2,4,90,2.5,08/16/07,1,790
9,"d02",2,1,"northern","south","middle","f.vilisics",5,3,90,2,08/16/07,1,790
10,"d02",2,1,"southern","north","middle","a.nagy",5,3,90,2,08/16/07,1,790
11,"d02",2,1,"northern","south","edge","f.vilisics",20,2,80,2,08/16/07,1,790
12,"d02",2,1,"southern","north","edge","a.nagy",20,2,80,2,08/16/07,1,790
13,"d03",3,1,"northern","south","bottom","f.vilisics",0,1,85,2,08/16/07,1,890
14,"d03",3,1,"southern","north","bottom","a.nagy",0,2,95,2,08/16/07,1,890
15,"d03",3,1,"northern","south","middle","f.vilisics",10,4,80,2,08/16/07,1,890
16,"d03",3,1,"southern","north","middle","a.nagy",10,4,80,2,08/16/07,1,890
17,"d03",3,1,"northern","south","edge","f.vilisics",10,4,80,2,08/16/07,1,890
18,"d03",3,1,"southern","north","edge","a.nagy",5,6,80,2,08/16/07,1,890
19,"d04",4,1,"northern","south","bottom","f.vilisics",5,2,70,2,08/16/07,1,930
20,"d04",4,1,"southern","north","bottom","a.nagy",5,3,65,2,08/16/07,1,930
21,"d04",4,1,"northern","south","middle","f.vilisics",5,3,90,2,08/16/07,1,930
22,"d04",4,1,"southern","north","middle","a.nagy",5,3,90,2,08/16/07,1,930
23,"d04",4,1,"northern","south","edge","f.vilisics",15,2,65,2,08/16/07,1,930
24,"d04",4,1,"southern","north","edge","a.nagy",20,2,70,1.5,08/16/07,1,930
25,"d05",5,2,"northern","south","bottom","f.vilisics",0,3,80,3,08/17/07,2,570
26,"d05",5,2,"southern","north","bottom","a.nagy",5,3,80,3,08/17/07,2,570
27,"d05",5,2,"northern","south","middle","f.vilisics",30,3,60,2,08/17/07,2,570
28,"d05",5,2,"southern","north","middle","a.nagy",30,5,60,2,08/17/07,2,570
29,"d05",5,2,"northern","south","edge","f.vilisics",10,2,90,1,08/17/07,2,570
30,"d05",5,2,"southern","north","edge","a.nagy",10,2,90,1.5,08/17/07,2,570
31,"d06",6,2,"northern","south","bottom","f.vilisics",20,1,50,1,08/17/07,2,670
32,"d06",6,2,"southern","north","bottom","a.nagy",60,2,30,1.5,08/17/07,2,670
33,"d06",6,2,"northern","south","middle","f.vilisics",20,3,80,1.5,08/17/07,2,670
34,"d06",6,2,"southern","north","middle","a.nagy",20,3,80,1.5,08/17/07,2,670
35,"d06",6,2,"northern","south","edge","f.vilisics",10,2,80,1,08/17/07,2,670
36,"d06",6,2,"southern","north","edge","a.nagy",10,2,80,1,08/17/07,2,670
37,"d07",7,2,"northern","south","bottom","f.vilisics",40,5,60,2,08/17/07,2,780
38,"d07",7,2,"southern","north","bottom","a.nagy",40,5,60,2,08/17/07,2,780
39,"d07",7,2,"northern","south","middle","f.vilisics",40,5,60,2,08/17/07,2,780
40,"d07",7,2,"southern","north","middle","a.nagy",40,5,60,2,08/17/07,2,780
41,"d07",7,2,"northern","south","edge","f.vilisics",2,2,80,2,08/17/07,2,780
42,"d07",7,2,"southern","north","edge","a.nagy",2,2,80,2,08/17/07,2,780
43,"d08",8,2,"northern","south","bottom","f.vilisics",0,4,60,2.5,08/17/07,2,870
44,"d08",8,2,"southern","north","bottom","a.nagy",0,4,60,2.5,08/17/07,2,870
45,"d08",8,2,"northern","south","middle","f.vilisics",70,8,20,2.5,08/17/07,2,870
46,"d08",8,2,"southern","north","middle","a.nagy",70,8,20,2.5,08/17/07,2,870
47,"d08",8,2,"northern","south","edge","f.vilisics",5,5,92,2,08/17/07,2,870
48,"d08",8,2,"southern","north","edge","a.nagy",5,5,95,2,08/17/07,2,870
49,"d09",9,3,"northern","south","bottom","a.nagy",5,3,90,1.5,08/17/07,2,900
50,"d09",9,3,"southern","north","bottom","f.vilisics",5,3,90,1.5,08/17/07,2,900
51,"d09",9,3,"northern","south","middle","a.nagy",10,4,85,2,08/17/07,2,900
52,"d09",9,3,"southern","north","middle","f.vilisics",10,4,85,2,08/17/07,2,900
53,"d09",9,3,"northern","south","edge","a.nagy",0,3,95,2,08/17/07,2,900
54,"d09",9,3,"southern","north","edge","f.vilisics",0,3,95,2,08/17/07,2,900
55,"d10",10,3,"northern","south","bottom","a.nagy",30,2,65,1.5,08/17/07,2,985
56,"d10",10,3,"southern","north","bottom","f.vilisics",30,2,65,1.5,08/17/07,2,985
57,"d10",10,3,"northern","south","middle","a.nagy",25,2,60,1.5,08/17/07,2,985
58,"d10",10,3,"southern","north","middle","f.vilisics",25,2,60,1.5,08/17/07,2,985
59,"d10",10,3,"northern","south","edge","a.nagy",0,2,60,1.5,08/17/07,2,985
60,"d10",10,3,"southern","north","edge","f.vilisics",0,2,60,1.5,08/17/07,2,985
61,"d11",11,3,"northern","south","bottom","a.nagy",5,3,90,2,08/18/07,3,565
62,"d11",11,3,"southern","north","bottom","f.vilisics",0,5,90,2,08/18/07,3,565
63,"d11",11,3,"northern","south","middle","a.nagy",40,2,50,1.5,08/18/07,3,565
64,"d11",11,3,"southern","north","middle","f.vilisics",10,4,99,2,08/18/07,3,565
65,"d11",11,3,"northern","south","edge","a.nagy",10,2,90,1,08/18/07,3,565
66,"d11",11,3,"southern","north","edge","f.vilisics",10,5,85,2,08/18/07,3,565
67,"d12",12,3,"northern","south","bottom","a.nagy",0,2,80,1.5,08/18/07,3,655
68,"d12",12,3,"southern","north","bottom","f.vilisics",2,4,80,2,08/18/07,3,655
69,"d12",12,3,"northern","south","middle","a.nagy",0,2,100,1,08/18/07,3,655
70,"d12",12,3,"southern","north","middle","f.vilisics",20,3,75,1.5,08/18/07,3,655
71,"d12",12,3,"northern","south","edge","a.nagy",0,2,90,1,08/18/07,3,655
72,"d12",12,3,"southern","north","edge","f.vilisics",20,3,75,1.5,08/18/07,3,655
73,"d13",13,4,"northern","south","bottom","a.nagy",0,3,90,2,08/18/07,3,795
74,"d13",13,4,"southern","north","bottom","f.vilisics",0,3,90,2,08/18/07,3,795
75,"d13",13,4,"northern","south","middle","a.nagy",5,2,90,1,08/18/07,3,795
76,"d13",13,4,"southern","north","middle","f.vilisics",2,6,95,2,08/18/07,3,795
77,"d13",13,4,"northern","south","edge","a.nagy",0,2,90,1,08/18/07,3,795
78,"d13",13,4,"southern","north","edge","f.vilisics",10,3,85,1.5,08/18/07,3,795
79,"d14",14,4,"northern","south","bottom","a.nagy",90,2,5,1,08/18/07,3,870
80,"d14",14,4,"southern","north","bottom","f.vilisics",90,10,10,3,08/18/07,3,870
81,"d14",14,4,"northern","south","middle","a.nagy",0,2,100,1,08/18/07,3,870
82,"d14",14,4,"southern","north","middle","f.vilisics",0,2,95,1.5,08/18/07,3,870
83,"d14",14,4,"northern","south","edge","a.nagy",0,2,100,1,08/18/07,3,870
84,"d14",14,4,"southern","north","edge","f.vilisics",15,4,80,3,08/18/07,3,870
85,"d15",15,4,"northern","south","bottom","a.nagy",4,3,90,1.5,08/18/07,3,960
86,"d15",15,4,"southern","north","bottom","f.vilisics",25,3,60,2,08/18/07,3,960
87,"d15",15,4,"northern","south","middle","a.nagy",50,3,30,1,08/18/07,3,960
88,"d15",15,4,"southern","north","middle","f.vilisics",25,3,70,2,08/18/07,3,960
89,"d15",15,4,"northern","south","edge","a.nagy",50,3,30,1,08/18/07,3,960
90,"d15",15,4,"southern","north","edge","f.vilisics",5,3,90,1.5,08/18/07,3,960
91,"d16",16,4,"northern","south","bottom","a.nagy",1,3,80,1,08/18/07,3,1000
92,"d16",16,4,"southern","north","bottom","f.vilisics",0,3,75,1.5,08/18/07,3,1000
93,"d16",16,4,"northern","south","middle","a.nagy",0,9,3,2,08/18/07,3,1000
94,"d16",16,4,"southern","north","middle","f.vilisics",90,10,10,1.5,08/18/07,3,1000
95,"d16",16,4,"northern","south","edge","a.nagy",30,3,65,1,08/18/07,3,1000
96,"d16",16,4,"southern","north","edge","f.vilisics",5,2,95,1,08/18/07,3,1000
